Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,36.65,37.3,36.65,37.09,4710200.0,0.0,1.0,36.65,37.3,36.65,37.09,4710200.0
2010-01-05,37.04,37.8,36.87,37.7,7108800.0,0.0,1.0,37.04,37.8,36.87,37.7,7108800.0
2010-01-06,37.33,37.74,37.2,37.62,5336400.0,0.0,1.0,37.33,37.74,37.2,37.62,5336400.0
2010-01-07,37.41,37.5865,36.81,36.89,5576700.0,0.0,1.0,37.41,37.5865,36.81,36.89,5576700.0
2010-01-08,36.75,36.97,36.34,36.69,5429200.0,0.0,1.0,36.75,36.97,36.34,36.69,5429200.0
2010-01-11,36.68,36.77,35.95,36.21,4901400.0,0.0,1.0,36.68,36.77,35.95,36.21,4901400.0
2010-01-12,36.14,36.14,35.385,35.66,5073900.0,0.0,1.0,36.14,36.14,35.385,35.66,5073900.0
2010-01-13,35.83,36.36,35.6001,36.28,3660100.0,0.0,1.0,35.83,36.36,35.6001,36.28,3660100.0
2010-01-14,36.13,36.51,35.79,35.9,4536200.0,0.0,1.0,36.13,36.51,35.79,35.9,4536200.0
2010-01-15,35.92,36.21,35.47,35.87,6732300.0,0.0,1.0,35.92,36.21,35.47,35.87,6732300.0
2010-01-19,35.87,37.02,35.81,36.95,5964100.0,0.0,1.0,35.87,37.02,35.81,36.95,5964100.0
2010-01-20,36.37,36.51,35.62,36.49,6258500.0,0.0,1.0,36.37,36.51,35.62,36.49,6258500.0
2010-01-21,36.49,36.65,35.46,35.82,7404400.0,0.0,1.0,36.49,36.65,35.46,35.82,7404400.0
2010-01-22,35.62,35.82,34.35,34.38,7721300.0,0.0,1.0,35.62,35.82,34.35,34.38,7721300.0
2010-01-25,34.63,34.976,33.97,34.16,6961500.0,0.0,1.0,34.63,34.976,33.97,34.16,6961500.0
2010-01-26,33.81,34.29,33.62,33.94,5356300.0,0.0,1.0,33.81,34.29,33.62,33.94,5356300.0
2010-01-27,33.68,33.68,32.65,33.14,9896900.0,0.0,1.0,33.68,33.68,32.65,33.14,9896900.0
2010-01-28,33.29,33.66,32.48,32.89,6417800.0,0.0,1.0,33.29,33.66,32.48,32.89,6417800.0
2010-01-29,32.95,33.24,32.17,32.3,8377800.0,0.0,1.0,32.95,33.24,32.17,32.3,8377800.0
2010-02-01,32.39,32.54,32.06,32.48,8705500.0,0.0,1.0,32.39,32.54,32.06,32.48,8705500.0
2010-02-02,32.54,33.13,32.31,32.98,5735700.0,0.0,1.0,32.54,33.13,32.31,32.98,5735700.0
2010-02-03,32.85,33.43,32.54,32.98,6732000.0,0.0,1.0,32.85,33.43,32.54,32.98,6732000.0
2010-02-04,32.88,32.96,32.2,32.24,9450300.0,0.0,1.0,32.88,32.96,32.2,32.24,9450300.0
2010-02-05,32.43,32.8,31.85,32.77,11881500.0,0.0,1.0,32.43,32.8,31.85,32.77,11881500.0
2010-02-08,32.77,32.79,32.02,32.05,8615600.0,0.0,1.0,32.77,32.79,32.02,32.05,8615600.0
2010-02-09,32.6,32.66,31.91,32.31,8047700.0,0.0,1.0,32.6,32.66,31.91,32.31,8047700.0
2010-02-10,33.45,33.55,32.57,32.76,9592000.0,0.0,1.0,33.45,33.55,32.57,32.76,9592000.0
2010-02-11,32.6,33.16,32.28,32.64,10125400.0,0.0,1.0,32.6,33.16,32.28,32.64,10125400.0
2010-02-12,32.25,32.28,31.2801,31.45,21221400.0,0.0,1.0,32.25,32.28,31.2801,31.45,21221400.0
2010-02-16,31.5,31.87,31.28,31.81,9113700.0,0.0,1.0,31.5,31.87,31.28,31.81,9113700.0
2010-02-17,32.16,32.43,31.96,32.33,9213000.0,0.0,1.0,32.16,32.43,31.96,32.33,9213000.0
2010-02-18,32.47,33.33,32.47,33.24,9614400.0,0.0,1.0,32.47,33.33,32.47,33.24,9614400.0
2010-02-19,33.8,34.16,33.565,33.88,12324000.0,0.0,1.0,33.8,34.16,33.565,33.88,12324000.0
2010-02-22,34.21,34.21,33.51,33.7,6119800.0,0.0,1.0,34.21,34.21,33.51,33.7,6119800.0
2010-02-23,33.68,33.82,33.201,33.44,7906000.0,0.0,1.0,33.68,33.82,33.201,33.44,7906000.0
2010-02-24,33.63,34.63,33.56,34.55,9545200.0,0.0,1.0,33.63,34.63,33.56,34.55,9545200.0
2010-02-25,33.8,34.59,33.54,34.56,7735500.0,0.0,1.0,33.8,34.59,33.54,34.56,7735500.0
2010-02-26,34.55,34.7,34.055,34.65,4792600.0,0.0,1.0,34.55,34.7,34.055,34.65,4792600.0
2010-03-01,34.63,35.0,34.53,34.89,4965000.0,0.0,1.0,34.63,35.0,34.53,34.89,4965000.0
2010-03-02,34.68,35.095,34.6401,34.74,5603400.0,0.0,1.0,34.68,35.095,34.6401,34.74,5603400.0
2010-03-03,34.87,35.15,34.61,34.82,4098900.0,0.0,1.0,34.87,35.15,34.61,34.82,4098900.0
2010-03-04,34.86,35.09,34.58,34.94,4440700.0,0.0,1.0,34.86,35.09,34.58,34.94,4440700.0
2010-03-05,35.08,35.44,34.93,35.16,8381900.0,0.0,1.0,35.08,35.44,34.93,35.16,8381900.0
2010-03-08,35.12,35.4,35.02,35.06,3850100.0,0.0,1.0,35.12,35.4,35.02,35.06,3850100.0
2010-03-09,35.06,35.62,35.04,35.12,5486200.0,0.0,1.0,35.06,35.62,35.04,35.12,5486200.0
2010-03-10,35.27,35.35,35.04,35.15,5969600.0,0.0,1.0,35.27,35.35,35.04,35.15,5969600.0
2010-03-11,35.07,35.27,35.0,35.22,4371500.0,0.0,1.0,35.07,35.27,35.0,35.22,4371500.0
2010-03-12,35.22,35.27,35.11,35.16,6262400.0,0.0,1.0,35.22,35.27,35.11,35.16,6262400.0
2010-03-15,35.15,35.56,35.0,35.49,3933100.0,0.0,1.0,35.15,35.56,35.0,35.49,3933100.0
2010-03-16,35.46,35.68,34.93,35.02,5818800.0,0.0,1.0,35.46,35.68,34.93,35.02,5818800.0
2010-03-17,35.61,36.08,35.4519,35.49,8350000.0,0.0,1.0,35.61,36.08,35.4519,35.49,8350000.0
2010-03-18,35.72,35.95,35.565,35.75,4227000.0,0.0,1.0,35.72,35.95,35.565,35.75,4227000.0
2010-03-19,35.86,35.95,34.5,34.67,16351100.0,0.0,1.0,35.86,35.95,34.5,34.67,16351100.0
2010-03-22,34.61,35.06,34.6,34.95,4895900.0,0.0,1.0,34.61,35.06,34.6,34.95,4895900.0
2010-03-23,35.26,35.42,34.69,35.22,8504500.0,0.0,1.0,35.26,35.42,34.69,35.22,8504500.0
2010-03-24,37.12,37.3,36.48,36.51,16778000.0,0.0,1.0,37.12,37.3,36.48,36.51,16778000.0
2010-03-25,36.75,36.79,35.86,35.87,6566400.0,0.0,1.0,36.75,36.79,35.86,35.87,6566400.0
2010-03-26,35.85,36.105,35.25,35.51,6049100.0,0.0,1.0,35.85,36.105,35.25,35.51,6049100.0
2010-03-29,35.6,36.01,35.6,35.74,5055700.0,0.0,1.0,35.6,36.01,35.6,35.74,5055700.0
2010-03-30,35.78,35.9,35.29,35.68,3469800.0,0.0,1.0,35.78,35.9,35.29,35.68,3469800.0
2010-03-31,35.62,35.7,35.27,35.37,4436700.0,0.0,1.0,35.62,35.7,35.27,35.37,4436700.0
2010-04-01,35.54,35.88,35.245,35.74,5467700.0,0.0,1.0,35.54,35.88,35.245,35.74,5467700.0
2010-04-05,35.68,36.07,35.66,35.99,5267100.0,0.0,1.0,35.68,36.07,35.66,35.99,5267100.0
2010-04-06,35.56,35.93,35.55,35.7,4211400.0,0.0,1.0,35.56,35.93,35.55,35.7,4211400.0
2010-04-07,35.56,35.64,34.95,35.06,6632100.0,0.0,1.0,35.56,35.64,34.95,35.06,6632100.0
2010-04-08,35.03,35.0775,34.63,34.94,5726800.0,0.0,1.0,35.03,35.0775,34.63,34.94,5726800.0
2010-04-09,34.57,35.47,34.44,35.47,7205500.0,0.0,1.0,34.57,35.47,34.44,35.47,7205500.0
2010-04-12,35.42,35.54,34.91,35.02,5690600.0,0.0,1.0,35.42,35.54,34.91,35.02,5690600.0
2010-04-13,34.86,35.09,34.51,34.75,5825700.0,0.0,1.0,34.86,35.09,34.51,34.75,5825700.0
2010-04-14,34.63,35.04,34.57,35.02,5037400.0,0.0,1.0,34.63,35.04,34.57,35.02,5037400.0
2010-04-15,35.09,35.1,34.17,34.39,9548000.0,0.0,1.0,35.09,35.1,34.17,34.39,9548000.0
