Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,23.72,23.98,23.62,23.9,9474600.0,0.0,1.0,9.33183321141185,9.434121433796633,9.292491587417702,9.402648134601314,9474600.0
2010-01-05,23.79,23.9,23.5,23.65,11230300.0,0.0,1.0,9.359372348207753,9.402648134601314,9.245281638624723,9.304294074615946,11230300.0
2010-01-06,23.63,23.8,23.44,23.5,11097900.0,0.0,1.0,9.296425749817116,9.363306510607167,9.221676664228236,9.245281638624723,11097900.0
2010-01-07,23.49,23.49,23.17,23.23,10614500.0,0.0,1.0,9.24134747622531,9.24134747622531,9.115454279444037,9.139059253840525,10614500.0
2010-01-08,23.19,23.64,23.1,23.51,12830000.0,0.0,1.0,9.123322604242867,9.300359912216532,9.087915142648134,9.249215801024139,12830000.0
2010-01-11,23.53,23.75,23.25,23.45,7715100.0,0.0,1.0,9.257084125822969,9.343635698610093,9.146927578639355,9.22561082662765,7715100.0
2010-01-12,23.39,23.44,22.96,23.19,10762700.0,0.0,1.0,9.202005852231162,9.221676664228236,9.032836869056327,9.123322604242867,10762700.0
2010-01-13,23.33,23.63,23.11,23.6,10362200.0,0.0,1.0,9.178400877834672,9.296425749817116,9.091849305047548,9.284623262618872,10362200.0
2010-01-14,23.5,23.5,22.85,22.88,17716400.0,0.0,1.0,9.245281638624723,9.245281638624723,8.989561082662764,9.001363569861008,17716400.0
2010-01-15,22.99,23.06,22.12,22.47,27043900.0,0.0,1.0,9.044639356254569,9.072178493050473,8.702367227505485,8.840062911485001,27043900.0
2010-01-19,22.28,23.39,22.28,23.26,20981900.0,0.0,1.0,8.765313825896122,9.202005852231162,8.765313825896122,9.15086174103877,20981900.0
2010-01-20,23.19,23.19,22.18,22.23,38817600.0,0.0,1.0,9.123322604242867,9.123322604242867,8.725972201901973,8.745643013899048,38817600.0
2010-01-21,23.91,24.555,23.65,24.13,65488100.0,0.0,1.0,9.40658229700073,9.660335771762982,9.304294074615946,9.493133869787854,65488100.0
2010-01-22,24.0,24.18,23.2163,23.58,24167900.0,0.0,1.0,9.441989758595463,9.512804681784928,9.133669451353327,9.276754937820042,24167900.0
2010-01-25,23.71,23.89,23.36,23.69,18369600.0,0.0,1.0,9.327899049012435,9.3987139722019,9.190203365032916,9.320030724213606,18369600.0
2010-01-26,23.53,24.36,23.47,24.07,22979100.0,0.0,1.0,9.257084125822969,9.583619604974395,9.23347915142648,9.469528895391367,22979100.0
2010-01-27,23.81,24.25,23.63,23.97,20809400.0,0.0,1.0,9.367240673006581,9.540343818580832,9.296425749817116,9.430187271397218,20809400.0
2010-01-28,24.0,24.0799,23.08,23.33,20323800.0,0.0,1.0,9.441989758595463,9.473423716166787,9.080046817849302,9.178400877834672,20323800.0
2010-01-29,23.45,24.0,22.87,23.02,22578700.0,0.0,1.0,9.22561082662765,9.441989758595463,8.997429407461594,9.056441843452815,22578700.0
2010-02-01,22.91,23.38,22.9,23.17,11080600.0,0.0,1.0,9.013166057059252,9.198071689831746,9.009231894659838,9.115454279444037,11080600.0
2010-02-02,23.05,23.33,22.92,23.08,11883400.0,0.0,1.0,9.06824433065106,9.178400877834672,9.017100219458667,9.080046817849302,11883400.0
2010-02-03,22.965,23.31,22.88,23.23,14385800.0,0.0,1.0,9.034803950256034,9.170532553035843,9.001363569861008,9.139059253840525,14385800.0
2010-02-04,22.95,23.29,22.4,22.4475,19624600.0,0.0,1.0,9.028902706656911,9.162664228237013,8.812523774689097,8.83121104608632,19624600.0
